Hold,Type
A1,Small Pinch
A2,Small Crimp
A3,Small Crimp
A4,Medium Crimp
A5,Jug
A6,Jug
A7,Small Crimp
A8,Small Crimp
A9,Small Crimp
A10,Small Crimp
A11,Large Crimp
A12,Medium Crimp
A13,Small Crimp
A14,Medium Crimp
A15,Large Crimp
A16,Small Crimp
A17,Medium Crimp
A18,Jug
B1,Medium Crimp
B2,Medium Crimp
B3,Large Crimp
B4,Small Crimp
B5,Small Crimp
B6,Small Crimp
B7,Small Crimp
B8,Small Pinch
B9,Medium Pinch
B10,Slopy Pinch
B11,Large Crimp
B12,Small Crimp
B13,Jug
B14,Large Crimp
B15,Small Pinch
B16,Small Crimp
B17,Small Crimp
B18,Jug
C1,Small Crimp
C2,Small Crimp
C3,Small Crimp
C4,Large Crimp
C5,Small Crimp
C6,Small Crimp
C7,Large Pinch
C8,Small Crimp
C9,Small Crimp
C10,Large Crimp
C11,Medium Crimp
C12,Small Pinch
C13,Large Crimp
C14,Jug
C15,Medium Crimp
C16,Jug
C17,Large Crimp
C18,Jug
D1,Small Crimp
D2,Small Pinch
D3,Small Crimp
D4,Jug
D5,Large Crimp
D6,Small Crimp
D7,Pocket
D8,Small Pinch
D9,Jug
D10,Jug
D11,Small Crimp
D12,Large Crimp
D13,Medium Crimp
D14,Small Crimp
D15,Jug
D16,Small Crimp
D17,Small Crimp
D18,Large Crimp
E1,Large Crimp
E2,Small Crimp
E3,Slopy Pinch
E4,Small Pocket
E5,Small Crimp
E6,Medium Crimp
E7,Slopy Pinch
E8,Large Crimp
E9,Small Crimp
E10,Slopy Pinch
E11,Small Pinch
E12,Large Crimp
E13,Jug
E14,Medium Crimp
E15,Small Pinch
E16,Slopy Pinch
E17,Sloper
E18,Large Crimp
F1,Small Crimp
F2,Small Crimp
F3,Medium Crimp
F4,Large Crimp
F5,Large Pinch
F6,Jug
F7,Large Crimp
F8,Jug
F9,Large Crimp
F10,Medium Crimp
F11,Small Crimp
F12,Large Pinch
F13,Large Crimp
F14,Small Crimp
F15,Small Pinch
F16,Small Crimp
F17,Small Pinch
F18,Jug
G1,Small Crimp
G2,Small Pinch
G3,Medium Crimp
G4,Large Crimp
G5,Small Crimp
G6,Small Pinch
G7,Pocket
G8,Medium Pinch
G9,Small Crimp
G10,Medium Pinch
G11,Large Crimp
G12,Large Crimp
G13,Large Pinch
G14,Large Crimp
G15,Medium Crimp
G16,Medium Crimp
G17,Small Crimp
G18,Small Crimp
H1,Large Crimp
H2,Small Crimp
H3,Small Pocket
H4,Small Crimp
H5,Jug
H6,Small Crimp
H7,Pocket
H8,Medium Pinch
H9,Large Crimp
H10,Jug
H11,Slopy Pinch
H12,Slopy Pinch
H13,Large Crimp
H14,Medium Crimp
H15,Small Crimp
H16,Small Crimp
H17,Small Crimp
H18,Jug
I1,Slopy Pinch
I2,Small Pocket
I3,Pocket
I4,Small Crimp
I5,Large Crimp
I6,Small Crimp
I7,Slopy Pinch
I8,Jug
I9,Medium Crimp
I10,Medium Crimp
I11,Small Crimp
I12,Medium Crimp
I13,Slopy Pinch
I14,Small Crimp
I15,Small Pocket
I16,Large Crimp
I17,Small Crimp
I18,Jug
J1,Small Crimp
J2,Slopy Pinch
J3,Small Crimp
J4,Medium Crimp
J5,Medium Crimp
J6,Medium Crimp
J7,Medium Crimp
J8,Small Crimp
J9,Slopy Pinch
J10,Small Crimp
J11,Jug
J12,Small Pinch
J13,Large Crimp
J14,Slopy Pinch
J15,Medium Crimp
J16,Large Crimp
J17,Sloper
J18,Large Crimp
K1,Small Crimp
K2,Small Pinch
K3,Small Crimp
K4,Small Crimp
K5,Small Crimp
K6,Medium Crimp
K7,Small Crimp
K8,Medium Crimp
K9,Small Pinch
K10,Small Crimp
K11,Large Crimp
K12,Small Crimp
K13,Medium Crimp
K14,Small Crimp
K15,Large Crimp
K16,Medium Crimp
K17,Medium Crimp
K18,Small Crimp
